intent,query,answer
일반상식,겨울전쟁때 핀란드 공군의 공격기와 전투기 혼성연대는 어디였는지 알아,제19비행연대
일반상식,기독교 성경에서 확실하게 이름이 밝혀진 대천사는 누구지,미카엘
일반상식,제주도에는 몇개의 행정시가 존재해,2개
일반상식,여행자수표가 뭐야,해외여행자가 여행 중에 현금 대신 사용할 수 있는 수표
일반상식,루소포니아 경기대회는 몇 개국의 회원국을 갖고 있어,9개
일반상식,환성구보다 아래 소리를 뭐라고 부르지,흉성
일반상식,영화 곤조는 못말려가 초연된 곳은,트리베카 영화제
일반상식,하곡현은 언제 울주가 됐지,고려초
일반상식,시슬리 메리 바커가 청소년기부터 공부한 학교가 어디야,크로이던 예술 대학
일반상식,윈도우 버전 몇부터 제어판이 추가되었어,윈도우 1.0
일반상식,미국과 러시아의 휴대용 단거리 지대공 미사일 명중률은,60% 정도
일반상식,샤이니의 첫번째 콘서트는 어디에서 했지,올림픽공원 체조경기장
일반상식,2015년 영국 총선에서 승리한 당은,스코틀랜드 국민당
일반상식,환호집락이 뭐야,마을 주위에 해자나 수로를 파서 방어기능을 높인 취락의 형태
일반상식,우리나라 천연기념물 개는 뭐야,"진도개와 풍산개, 삽살개"
일반상식,히틀러의 민족주의적 이념을 나타내는 색이 뭐야,하얀색
일반상식,NATO가 뭐야,북대서양 조약 기구
일반상식,테르니가 교황령에 속했던 시대는 몇 세기야,15세기
일반상식,항저우의 특산물은 뭐가 있어,용정차
일반상식,오스트레일리아에는 주가 몇 개 있어,6개
일반상식,폴란드 리투아니아 연합군은 어느 전투에서 독일 기사단을 대패시켰어,그룬발트 전투
일반상식,가토 토모사부로가 몇 년도에 제2차 오쿠마 내각의 해군 대신 역할을 맡았어,1915년
일반상식,여신전생 페르소나 3은 어떤 회사가 제작했어,아틀라스
일반상식,우리나라는 언제 방카슈랑스를 처음 도입했어,2003년
일반상식,위키미디어 재단이 하는 일은 뭐야,"프로젝트의 유지, 소프트웨어와 하드웨어의 관리, 사용자 커뮤니티에 대한 지원"
일반상식,제임스 와트가 자신의 첫번째 조속기를 설계한 게 몇 년도였지,1788년
일반상식,하네다 아이는 어디 소속이야,프라임 에이전시
일반상식,소설 데카메론의 등장인물 중 신체장애인처럼 행동하는 인물은,마르텔리노
일반상식,영월역은 언제 완공했지,1956년
일반상식,운동에너지가 뭐야,운동(운동 (물리학))하고 있는 물체 또는 입자가 갖는 에너지
일반상식,베이징 올림픽 마스코트가 뭐야,푸와
일반상식,일본 히로시마에 원자 폭탄 투하된 날짜가 언제야,8월 6일
일반상식,한국의 반민특위의 활동 시작 시기는,1949년 1월 5일부터
일반상식,삼성은 세계 휴대폰 시장 점유율 몇 위야,2위
일반상식,쿠르디스탄 애국 동맹은 당원이 얼마나 되지,1만명으로 추정
일반상식,서사하라의 수도는 어디야,엘아이운
일반상식,2015/16시즌 스페인 리그 득점 1위는 누구야,수아레즈
일반상식,묘동교회가 대한예수교장로회로 완전 복귀한게 몇년도야,1959년
일반상식,중세에서는 대학 사회의 특권이 인정되지 않을 경우 어떻게 했어,지역사회 물품의 불매운동이나 대학을 해당 지역에서 이전하려고 하는 움직임을 보여주면서 그 권리를 지켜나갈 수 있었다
일반상식,전 세계적으로 알려진 루마니아의 대표시는 뭐가 있어,샛별
일반상식,백제는 언제 왜와 국교를 수립했어,"서기 366년(진구 황후 46년, 근초고왕 21년)"
일반상식,1유로는 몇 벨기에 프랑이야,40.3399 프랑
일반상식,프랑스 혁명 직후에 누가 오스트리아의 대공이 되었어,레오폴트
일반상식,달은 어디에 떠 있는가의 주인공 여배우 이름이 뭐야,루비 모레노
일반상식,캐서린 워터스턴의 대학 재학 당시 전공은,연기
일반상식,조계종에서 법륜 스님을 승려로 인정하지 않는 이유는,법륜 스님이 단일계단에 참여를 안 했기에 승려로 인정을 할 수 없다
일반상식,비트 설계 최초 발견자가 누구야,로버트 대니얼 카마이클
일반상식,베베가 2016년 10월 어느 리그로 이적했어,스페인 프리메라리가
일반상식,허언증을 앓으면 거짓말에 대한 죄책감을 느껴,느끼지 않는다
일반상식,세르가지 칸의 능력이 뛰어나서 불렸던 명칭이 뭐야,사히브키란(Sahibkiran)이나 아미르 티무르
일반상식,2007년 미국음악저작권협회에서 선정한 최고의 알앤비 힙합노래는,Get Me Bodied
일반상식,마이 케미컬 로맨스 Desolation Row는 누구 노래를 커버한거야,밥 딜런
일반상식,2010년에 IUFoST를 개최한 도시는,남아프리카공화국 케이프타운
일반상식,1991년 야구선수 구도 기미야스의 개인 최고 성적은 몇 승이지,16승
일반상식,알비레오는 지구에서 얼마나 떨어져있어,385 광년
일반상식,가수 송지은은 어느 걸 그룹의 멤버야,시크릿
일반상식,척추카리에스는 어떤 병이야,결핵균이 척추에 침투하여 발생하는 질환
일반상식,바이오쇼크의 주인공 이름이 뭐야,잭
일반상식,여몽 디제는 누구에게 조종당해 관우 부자를 공격했어,치우
일반상식,이라크 병역제도가 어떻게 돼,징병제
일반상식,논문에 포함된 이미지는 어떤 포맷으로 PMC에 제출되어야하지,"고해상도 TIFT, EPS, 혹은 JPEG, GIF 포맷"
일반상식,투슈라타는 어느 나라 왕이었어,미탄니
일반상식,브란코 츠르벤코프스키가 마케도니아의 수상이 된 건 언제지,1992년
일반상식,선암사는 언제 지어진거야,529년
일반상식,모로코의 수도가 어디야,라바트
일반상식,경찰 축구단이 창단된게 언제야,1996년 3월 29일
일반상식,카티바가 있었던 도시는,벵가지
일반상식,애덤 스미스는 시장 기능을 뭐라고 표현했어,보이지 않는 손
일반상식,폭스바겐 이오스가 컨셉트카로 공개된게 몇년도야,2004년
일반상식,Disturbia의 음악장르가 뭐지,신스팝
일반상식,세계 랭킹 10위권의 바둑 기사 점수는 몇점이야,3500~3600점
일반상식,신매역에서 천주성삼병원으로 가려면 몇번 출구로 나가야해,5번 출구
일반상식,마스타 우는 왜 이현도 사단에서 방출됐대,아직까지 알려져있지 않다
일반상식,야구 선수 윤명준 어느 팀 소속이야,두산 베어스
일반상식,테루마 로마이의 장르를 알려줘,코미디 만화
일반상식,장성택을 결정적으로 구해준 사람은,김정남의 어머니 성혜림
일반상식,알키오네의 질량이 태양보다 얼마나 무거운지 알아,네 배
일반상식,이영표가 자책골을 넣은 게 언제였어,2000년 K리그 올스타전
일반상식,파마산 치즈 원산지가 어디야,이탈리아 북부 에밀리아로마냐 주의 파르마
일반상식,아카네 매니악스에서 데크맨을 대신하는 인물은,고다인
일반상식,아테네는 얼마나 오래된 도시야,"3,400년"
일반상식,알파고와 이세돌의 바둑 대결은 언제 열렸어,2016년 3월
일반상식,타블로가 뮤지컬 Annie의 영감을 받아 만든 노래 제목을 알려줘,Tomorrow
일반상식,에스페랑스 스포르티브 드 튀니스는 어느 나라의 팀이야,튀니지
일반상식,허영호가 초경량 비행기로 왕복 1100km 단독비행에 성공한 구간은,경기도 여주에서 제주도 서귀포시 성산읍까지
일반상식,바로크 음악을 완성한 사람이 누구지,바흐와 헨델
일반상식,최사제는 1081년 예부상서의 사은사로 어느 나라에 다녀왔지,송나라
일반상식,조재룡의 저서에는 어떤게 있어,"《베네치아의 기억》(공저), 《앙리 메쇼닉과 현대비평: 시학ㆍ번역ㆍ주체》, 《번역의 유령들》, 《시는 주사위 놀이를 하지 않는다》, 《번역하는 문장들》"
일반상식,책 파인만의 물리학 강의 표지는 무슨 색이야,진한 빨간 색
일반상식,성선임 일본 예명 뭐야,소닌'(ソニン)
일반상식,영국과 러시아가 중앙 아시아를 두고 싸우던 시기를 뭐라고 해,그레이트 게임
일반상식,셀 비디오가 대유행한게 언제야,90년대 후반
일반상식,남아프리카 공화국 최초의 고속철도가 뭐야,하우트레인
일반상식,2001년 우리금융그룹에 돈을 댄 공사 이름은,예금보험공사
일반상식,1980년대 의류형 웨어러블 디바이스는 무엇으로 채택되었어,1989년에 미국 국방성에서 미군을 위한 군복으로 채택
일반상식,자유지상주의적 사회주의는 어떤 그룹을 말하지,국가에 의한 중앙 집권적 국가 소유화와 경제 통제 그리고 국가마저 거부하는 반권위주의적 정치철학적 그룹
일반상식,멸망한 비잔티움 제국의 황족들은 뭘 했지,제국령 각지에 망명 정권을 수립
일반상식,루이스 엔리케 마르티네스 가르시아는 언제 태어났어,1970년 5월 8일
일반상식,1998년부터 2000년까지 코요테로 활동하던 멤버는,차승민
일반상식,마리 앙투아네트가 처형 당할 당시 나이는,38세
일반상식,파나마 운하 건설을 언제 시작했어,1904년
일반상식,김영덕이 사상 첫 통산 300승 감독이 된 경기가 뭐야,1988년 4월 7일 삼성전
일반상식,오사카  미야코지마구에 있는 역은 어디야,교바시 역
일반상식,보스니아 헤르체고비나의 수도인 도시 이름 알려줘,사라예보
일반상식,슬로베니아어는 어느 파에 속하는 언어지,슬로바키아어처럼 슬라브어파에 속하지만 체코어 처럼 많이 통하는 언어는 아니다
일반상식,캐나다의 2대 총리의 이름이 뭐지,알렉산더 매켄지
일반상식,외국인 중에 북한의 공화국영웅이 된 사람은,야세르 아라파트
일반상식,최초로 남극점을 정복한 사람은 누구야,아문센
일반상식,튀니지를 23년 동안 장기 집권 했던 대통령이 누구야,벤 알리
일반상식,러시아의 옛 이름이 뭐야,소련(소비에트 연방)
일반상식,단종의 유배지가 어디야,영월 청령포
일반상식,한영애가 졸업한 대학교가 어디야,서울예술전문대학 연극과
일반상식,국방부 79호실이 설치된 목적은,미국 중앙정보국과의 정보 교류 및 대응
일반상식,서민도로 주의 주도는 어디에 있어,맘부라오
일반상식,일본 만화 토끼 드롭스는 우리나라의 어떤 회사가 번역과 출판을 담당해,애니북스
일반상식,미국의 국립문서기록관리청은 SS-HA문서를 어떤 형태로 가지고 있지,마이크로필름
일반상식,캄보디아의 문화에 대해 알려줘,대표적으로 앙코르 시대(802년 ~ 1432년)에 만들어진 앙코르 와트 사원
일반상식,벨기에 축구 대표팀에서 가장 많은 경기를 출전한 선수는 누구야,얀 쾰레만스
일반상식,메네즈는 언제 AS 모나코로 이적했어,2006년 6월 22일
일반상식,SSLIOP를 이용하면 뭘 얻을 수 있어,암호화와 인증
일반상식,북한규라는 프로게이머가 한 게임은 뭐야,리그 오브 레전드
일반상식,라디오 굿모닝 웨스트체스터는 언제 방송해,아침 6시~9시
일반상식,브란코 츠르벤코프스키는 대학에서 뭘 전공했지,전기 공학부
일반상식,하나님은 아담에게 어떤 계명을 내렸어,생육하고 번성하라
일반상식,태국어와 라오스어 둘 다 어떤 언어의 영향을 받았어,크메르어
일반상식,이영덕이 총리가 되기 전에는 누가 총리 자리에 있었어,이회창
일반상식,몇 년도에 에어닛폰이 보잉 737을 도입했지,1983년
일반상식,일본늑대가 멸종된건 몇년도지,1905년
일반상식,김진오 교수가 삼성전자 재직 할 때 맡았던 업무는,산업용 로봇개발업무와 로봇사업을 총괄
일반상식,트랙스의 베이시스트가 누구야,강정우
일반상식,강은백은 선계를 며칠간 구경했지,사흘
일반상식,2000년 야구선수 박진만의 타율은,2할8푼8리의 타율
일반상식,배내스터 탈턴이 어느 당 소속이었어,휘그당
일반상식,아서 스탠리 에딩턴은 어떤 연구로 스미스 상을 수상했어,두 배경 별들의 겉보기 운동을 기반으로 새로운 분석 기법을 개발
일반상식,민주당 창당 초기 당원 규모는 어느정도야,약 7천 여 명
일반상식,모리타니 이슬람 공화국의 독립일은,1960년 11월 28일
일반상식,한명숙은 누가 자신을 친노로 분류했다고 말했어,언론
일반상식,이상민이 언제 감독이 되었어,2014년
일반상식,2013년의 이유 회원 국가수는 몇개야,28개
일반상식,힌두교는 어디에서 만들어진 종교야,남아시아
일반상식,파르테논 신전은 어느 나라에 있는 거야,아테네
일반상식,드레스덴 필하모니 관현악단이 사용하는 연주장소는,"문화 궁전 외에도 크로이츠 교회(Kreuzkerche)와 드레스덴 음악대학, Scholoss Albrechtsberg"
일반상식,서울시장이 누구야,박원순
일반상식,덴마크의 가장 성공적인 축구 클럽은,FC 코펜하겐 클럽
일반상식,평양고보 학생들이 두번째로 설립된 학교임을 교모에 뭘 둘러 나타냈지,가는 백선 두 개
일반상식,공형진이 데뷔한 영화 제목이 뭐지,그래 가끔 하늘을 보자
일반상식,사이카와 강 상류에 있는 댐은,사이카와 댐과 우치카와 댐
일반상식,박각시가 어떤 색을 가지고 있어,전체적으로 회색조
일반상식,안철수가 처음으로 앤티 바이러스 프로그램을 만들어서 치료에 성공한 때는 언제야,1988년 6월 10일
일반상식,월터 레이 앨런은 몇 년도에 태어났어,1975년
일반상식,옥문유전의 규모를 알려줘,"동서 20km, 남북 40km"
일반상식,시카고 극장은 어느 회사가 운영하고 있어,매디슨 스퀘어 가든 컴퍼니
일반상식,바그다드 조약은 뭘로 이름을 바꿨어,CENTO
일반상식,사뜨야메브 자야떼는 어디 나라 TV 프로그램이냐,인도
일반상식,조선시대 후기 등촌동의 지명은,경기도 양천군 남산면 등촌리
일반상식,가나안 농군학교를 누가 만들었어,김용기
일반상식,프리드리히 돌만이 죽은게 언제야,1944년 6월 28일
일반상식,축구선수 우카시 파비안스키 고향이 어디야,폴란드 코스트진 나드 오드롱
일반상식,판타스틱 Mr. 폭스 촬영을 시작한 도시는 어디야,런던
일반상식,강경애가 잡지 혜성에 발표한 장편소설의 제목이 뭐지,어머니와 딸
일반상식,랫팩 듄 엔터테인먼트가 제작에 관여한 영화는,"엑스맨 시리즈, 아바타 시리즈"
일반상식,서섭의 호가 뭐지,남은
일반상식,하페즈 알아사드 대통령이 테러 공격을 당한게 언제야,1980년 6월 26일
일반상식,대수적 위상수학에서 스틴로드 대수가 뭐야,유한체 계수의 안정 코호몰로지 연산들로 구성되는 호프 대수
일반상식,아에타 족은 어디에 살고 있어,필리핀 루손 섬의 외진 산악 지역
일반상식,남정현의 소설 분지에서 분지가 의미하는 것은,대한민국의 현실
일반상식,교황 교서 Commissi Nobis Divinitus를 반포한 교황은 누구야,클레멘스 11세
일반상식,한탄강 용암대지가 개석되면서 형성된 곳은 어디야,포천 한탄강 현무암 협곡과 비둘기낭 폭포
일반상식,정민혁은 군대 갔다 왔어,공익근무요원으로 복무
일반상식,어윈 로즈가 노벨상을 받은 게 언제야,2004년
일반상식,중국에서 가장 먼저 지하철이 생긴게 어디야,베이징
일반상식,조선신보 초기 발간주기는,"격주간, 주간"
일반상식,야마다 코레미츠가 누구야,전쟁 중 수신능력을 잃은 텔레파스
일반상식,켈리 브리앤 클락슨은 언제 태어났어,1982년 4월 24일
일반상식,불교에서 도제는 뭘 의미해,고통(고 (불교))을 소멸시키는 행을 하는 진리
일반상식,알하이삼이 생각한 은하수는 어땠어,"은하수가 시차를 가지지 않기 때문에 지구에서 매우 멀리 떨어져 있고, 대기에는 속해 있지 않다"
일반상식,밴드 라이드 해체 후 마크와 로렌스가 결성한 밴드 이름은,더 애니멀하우스
일반상식,나사시의 바톤이 뭔지 설명해줘,비공식 축구 세계 챔피언과 같은 규칙을 따르며 한가지 다른 점은 오직 90분의 정규 시간 결과 만을 가지고 판단한다는 점
일반상식,2007년 니카라과 대통령 이름이 뭐야,다니엘 오르테가
일반상식,1988년 칠레 국민투표는 누구의 임기를 위한 투표야,아우구스토 피노체트
일반상식,가넷 크로우의 Misty Mystery의 초회 한정반 CD에 빠져있는 트랙은,"모닝콜보이스를 다운로드 할 수 있는 QR코드 특제 카드와, 5종류의 도안전이 랜덤으로 봉입"
일반상식,탱자나무의 원산국이 어디지,중국
일반상식,스코틀랜드라는 이름은 어디서 따왔어,이 땅을 통일했던 스코트인(Scots)의 이름
일반상식,브라질의 첫 수도 이름이 뭐야,사우바도르
일반상식,짧은꼬리친칠라가 무성한 털을 가지고 있는 이유가 뭐야,주로 추운 기후 지역에서 살기 때문에
일반상식,센노 리큐에게 자결을 명한 사람이 누구야,도요토미 히데요시
일반상식,수와진 안상진이 신학 공부를 하고 있는 학교는,백석 신학교
일반상식,모리타니 이슬람 공화국 언제 독립했어,1960년 11월 28일
일반상식,대장암을 청룡사로 바꾼 사람은 누구야,나옹
일반상식,루터교회는 어느 대륙을 중심으로 퍼져나가지,북유럽
일반상식,근대사회 움직임에 관한 경제적 법칙을 연구했던 경제학자가 누구야,마르크스
일반상식,마지막 가온은 누구지,헤제키아
일반상식,루카스 바스케스는 언제 태어났어,1991년 7월 1일
일반상식,로드 존슨이 2002년에 출판한 책 이름이 뭐야,Expert One-on-One J2EE Design and Developement
일반상식,집회의 권리는 헌법 몇 조를 통해서 보장되,제 21조
일반상식,소경등은 언제까지 레스토랑 보컬 생활을 했어,2007년 7월
일반상식,채권자대위권이 뭐야,민법상의 채권자가 자기의 채권을 보전하기 위하여 자기의 이름으로 채무자의 권리를 행사할 수 있는 권리
일반상식,성마리누스가 기독교 박해를 피해 세운나라로 알려진 나라가 어디야,공화국 산마리노
일반상식,구나시리 메나시 봉기를 일으킨 사람이 누구야,아이누 노동자들
일반상식,한국의 인터넷 산업이 세계 경쟁력을 잃는 현상을 뭐라고 해,콜라파고스
일반상식,현상학은 어떤 학문이지,경험의 구조에 관한 학문
일반상식,자유 프랑스군 중 징집병의 비율은 얼마나 돼,약 65%
일반상식,마드리드 지하철 첫 차 운행 언제부터 시작해,오전 6시
일반상식,시스템 쇼크 2 몇 년도에 발매했지,1999년
일반상식,우간다의 대표적인 기독교 교단을 알려줘,"성공회, 로마 가톨릭교회 등"
일반상식,오르비 클래스가 시작된건 언제야,2012년 7월 18일
일반상식,컴퓨터 프로그램이 매수나 매도를 알아서 수행하는 거래를 뭐라고 해,알고리즘 트레이딩
일반상식,신진수 유골 절도 사건의 범인이 누구야,"정금용, 임종순 등"
